# R	G	B
0.419608 0.415686 0.396078
0.431373 0.423529 0.403922
0.427451 0.423529 0.403922
0.435294 0.427451 0.407843
0.411765 0.407843 0.384314
0.364706 0.360784 0.337255
0.368627 0.364706 0.345098
0.345098 0.341176 0.317647
0.313726 0.313726 0.290196
0.415686 0.431373 0.403922
0.658824 0.674510 0.647059
0.643137 0.658824 0.639216
0.623529 0.650980 0.647059
0.701961 0.745098 0.749020
0.580392 0.635294 0.643137
0.513726 0.572549 0.576471
0.470588 0.525490 0.529412
0.345098 0.411765 0.419608
0.321569 0.388235 0.396078
0.380392 0.431373 0.431373
0.454902 0.498039 0.486275
0.450980 0.501961 0.439216
0.427451 0.490196 0.415686
0.415686 0.482353 0.396078
0.415686 0.482353 0.400000
0.407843 0.482353 0.396078
0.400000 0.478431 0.392157
0.403922 0.490196 0.403922
0.388235 0.482353 0.384314
0.392157 0.482353 0.384314
0.372549 0.458824 0.384314
0.356863 0.447059 0.376471
0.439216 0.427451 0.400000
0.447059 0.435294 0.411765
0.447059 0.435294 0.407843
0.450980 0.439216 0.411765
0.435294 0.423529 0.396078
0.384314 0.372549 0.345098
0.380392 0.372549 0.345098
0.364706 0.352941 0.325490
0.325490 0.321569 0.290196
0.411765 0.419608 0.392157
0.670588 0.682353 0.658824
0.662745 0.674510 0.654902
0.631373 0.650980 0.647059
0.713726 0.756863 0.756863
0.596078 0.647059 0.650980
0.525490 0.580392 0.584314
0.486275 0.537255 0.541176
0.360784 0.423529 0.427451
0.329412 0.392157 0.396078
0.388235 0.435294 0.431373
0.462745 0.501961 0.482353
0.466667 0.513726 0.427451
0.411765 0.474510 0.392157
0.415686 0.470588 0.396078
0.415686 0.466667 0.400000
0.400000 0.466667 0.392157
0.376471 0.458824 0.372549
0.372549 0.462745 0.360784
0.392157 0.474510 0.376471
0.403922 0.482353 0.388235
0.380392 0.462745 0.376471
0.360784 0.439216 0.372549
0.447059 0.435294 0.407843
0.458824 0.447059 0.419608
0.458824 0.447059 0.419608
0.466667 0.454902 0.427451
0.450980 0.439216 0.411765
0.396078 0.384314 0.356863
0.392157 0.384314 0.356863
0.376471 0.368627 0.341176
0.333333 0.321569 0.294118
0.411765 0.415686 0.384314
0.682353 0.698039 0.674510
0.690196 0.701961 0.686275
0.639216 0.662745 0.654902
0.733333 0.768627 0.768627
0.607843 0.658824 0.666667
0.545098 0.596078 0.603922
0.513726 0.560784 0.568627
0.376471 0.431373 0.439216
0.341176 0.400000 0.400000
0.396078 0.439216 0.439216
0.466667 0.501961 0.482353
0.498039 0.529412 0.443137
0.419608 0.466667 0.388235
0.388235 0.443137 0.376471
0.400000 0.454902 0.380392
0.396078 0.462745 0.380392
0.380392 0.458824 0.368627
0.384314 0.462745 0.360784
0.380392 0.454902 0.368627
0.392157 0.466667 0.380392
0.384314 0.458824 0.372549
0.349020 0.431373 0.352941
0.454902 0.443137 0.419608
0.466667 0.454902 0.427451
0.466667 0.454902 0.431373
0.474510 0.462745 0.435294
0.462745 0.450980 0.423529
0.407843 0.396078 0.368627
0.400000 0.392157 0.364706
0.388235 0.380392 0.352941
0.333333 0.321569 0.294118
0.411765 0.411765 0.380392
0.709804 0.729412 0.717647
0.725490 0.741176 0.729412
0.658824 0.674510 0.662745
0.749020 0.780392 0.780392
0.619608 0.662745 0.670588
0.572549 0.611765 0.623529
0.552941 0.600000 0.607843
0.392157 0.447059 0.454902
0.349020 0.403922 0.407843
0.396078 0.439216 0.431373
0.466667 0.501961 0.482353
0.537255 0.533333 0.470588
0.407843 0.443137 0.372549
0.360784 0.415686 0.360784
0.400000 0.450980 0.360784
0.376471 0.443137 0.345098
0.368627 0.447059 0.349020
0.380392 0.454902 0.352941
0.376471 0.447059 0.368627
0.380392 0.447059 0.368627
0.364706 0.439216 0.352941
0.337255 0.419608 0.329412
0.423529 0.411765 0.380392
0.447059 0.439216 0.407843
0.466667 0.454902 0.423529
0.478431 0.466667 0.435294
0.466667 0.458824 0.427451
0.415686 0.403922 0.376471
0.407843 0.396078 0.368627
0.396078 0.388235 0.360784
0.329412 0.313726 0.286275
0.400000 0.392157 0.368627
0.729412 0.752941 0.752941
0.780392 0.803922 0.800000
0.674510 0.690196 0.682353
0.760784 0.784314 0.788235
0.639216 0.674510 0.686275
0.596078 0.639216 0.650980
0.607843 0.654902 0.662745
0.407843 0.462745 0.470588
0.352941 0.403922 0.407843
0.384314 0.427451 0.419608
0.427451 0.466667 0.450980
0.482353 0.482353 0.435294
0.321569 0.368627 0.313726
0.290196 0.349020 0.286275
0.305882 0.368627 0.282353
0.337255 0.403922 0.298039
0.360784 0.419608 0.305882
0.317647 0.392157 0.298039
0.341176 0.419608 0.341176
0.364706 0.435294 0.364706
0.364706 0.431373 0.368627
0.345098 0.411765 0.349020
0.101961 0.105882 0.094118
0.129412 0.129412 0.117647
0.278431 0.274510 0.254902
0.466667 0.454902 0.423529
0.474510 0.462745 0.427451
0.419608 0.403922 0.376471
0.411765 0.400000 0.372549
0.407843 0.400000 0.372549
0.329412 0.309804 0.286275
0.384314 0.380392 0.356863
0.756863 0.788235 0.792157
0.839216 0.866667 0.870588
0.690196 0.705882 0.701961
0.768627 0.796078 0.796078
0.658824 0.694118 0.701961
0.619608 0.670588 0.682353
0.670588 0.717647 0.729412
0.423529 0.474510 0.490196
0.349020 0.400000 0.403922
0.360784 0.403922 0.400000
0.388235 0.431373 0.419608
0.458824 0.458824 0.415686
0.294118 0.333333 0.278431
0.333333 0.372549 0.274510
0.333333 0.372549 0.282353
0.313726 0.364706 0.270588
0.400000 0.435294 0.298039
0.329412 0.396078 0.274510
0.329412 0.415686 0.321569
0.368627 0.427451 0.360784
0.356863 0.415686 0.376471
0.364706 0.419608 0.368627
0.003922 0.003922 0.007843
0.000000 0.000000 0.007843
0.168627 0.164706 0.156863
0.443137 0.431373 0.403922
0.482353 0.470588 0.431373
0.419608 0.407843 0.372549
0.411765 0.396078 0.368627
0.415686 0.407843 0.380392
0.333333 0.317647 0.290196
0.376471 0.376471 0.345098
0.749020 0.780392 0.784314
0.854902 0.878431 0.890196
0.705882 0.725490 0.713726
0.788235 0.815686 0.815686
0.678431 0.717647 0.725490
0.627451 0.674510 0.686275
0.662745 0.709804 0.725490
0.431373 0.486275 0.498039
0.349020 0.400000 0.403922
0.352941 0.400000 0.400000
0.388235 0.431373 0.423529
0.482353 0.486275 0.447059
0.403922 0.419608 0.349020
0.600000 0.564706 0.431373
0.556863 0.545098 0.431373
0.423529 0.458824 0.360784
0.360784 0.407843 0.301961
0.321569 0.392157 0.274510
0.400000 0.447059 0.349020
0.458824 0.494118 0.396078
0.380392 0.435294 0.364706
0.360784 0.419608 0.372549
0.015686 0.015686 0.015686
0.015686 0.015686 0.015686
0.141176 0.137255 0.133333
0.427451 0.415686 0.388235
0.486275 0.474510 0.439216
0.415686 0.407843 0.372549
0.407843 0.400000 0.364706
0.407843 0.403922 0.368627
0.309804 0.298039 0.262745
0.360784 0.352941 0.317647
0.698039 0.713726 0.705882
0.839216 0.870588 0.874510
0.713726 0.733333 0.721569
0.717647 0.733333 0.725490
0.607843 0.635294 0.639216
0.490196 0.505882 0.521569
0.501961 0.529412 0.541176
0.439216 0.494118 0.501961
0.356863 0.411765 0.411765
0.349020 0.400000 0.400000
0.384314 0.427451 0.427451
0.486275 0.490196 0.450980
0.368627 0.411765 0.364706
0.490196 0.505882 0.458824
0.462745 0.513726 0.458824
0.435294 0.494118 0.450980
0.380392 0.431373 0.349020
0.341176 0.392157 0.313726
0.427451 0.474510 0.403922
0.439216 0.490196 0.384314
0.368627 0.423529 0.356863
0.341176 0.400000 0.352941
0.007843 0.007843 0.007843
0.007843 0.007843 0.007843
0.105882 0.098039 0.094118
0.403922 0.392157 0.368627
0.486275 0.478431 0.443137
0.415686 0.407843 0.372549
0.411765 0.403922 0.364706
0.423529 0.411765 0.384314
0.372549 0.352941 0.329412
0.454902 0.415686 0.396078
0.521569 0.509804 0.509804
0.596078 0.588235 0.584314
0.596078 0.549020 0.529412
0.596078 0.545098 0.533333
0.541176 0.505882 0.505882
0.403922 0.376471 0.384314
0.501961 0.529412 0.533333
0.435294 0.490196 0.501961
0.345098 0.400000 0.403922
0.341176 0.396078 0.396078
0.376471 0.419608 0.427451
0.490196 0.486275 0.454902
0.290196 0.352941 0.317647
0.321569 0.392157 0.349020
0.356863 0.427451 0.368627
0.415686 0.458824 0.447059
0.443137 0.486275 0.443137
0.392157 0.447059 0.403922
0.392157 0.439216 0.423529
0.427451 0.470588 0.431373
0.376471 0.423529 0.400000
0.325490 0.380392 0.356863
0.007843 0.007843 0.007843
0.007843 0.007843 0.007843
0.062745 0.050980 0.047059
0.341176 0.317647 0.294118
0.490196 0.478431 0.447059
0.419608 0.407843 0.376471
0.423529 0.403922 0.380392
0.435294 0.407843 0.384314
0.411765 0.376471 0.349020
0.376471 0.349020 0.329412
0.301961 0.274510 0.270588
0.435294 0.337255 0.317647
0.576471 0.478431 0.462745
0.596078 0.533333 0.533333
0.478431 0.431373 0.443137
0.415686 0.419608 0.423529
0.513726 0.568627 0.576471
0.407843 0.462745 0.482353
0.337255 0.388235 0.403922
0.321569 0.376471 0.380392
0.352941 0.403922 0.407843
0.494118 0.501961 0.458824
0.274510 0.352941 0.290196
0.254902 0.349020 0.274510
0.321569 0.400000 0.313726
0.415686 0.470588 0.411765
0.443137 0.498039 0.431373
0.435294 0.494118 0.435294
0.400000 0.450980 0.427451
0.411765 0.458824 0.443137
0.376471 0.431373 0.415686
0.337255 0.400000 0.384314
0.011765 0.011765 0.011765
0.003922 0.007843 0.003922
0.035294 0.035294 0.027451
0.294118 0.274510 0.247059
0.392157 0.380392 0.345098
0.356863 0.333333 0.298039
0.415686 0.364706 0.325490
0.352941 0.305882 0.278431
0.380392 0.313726 0.262745
0.462745 0.368627 0.290196
0.396078 0.305882 0.239216
0.596078 0.458824 0.400000
0.698039 0.615686 0.596078
0.505882 0.450980 0.458824
0.407843 0.380392 0.388235
0.435294 0.443137 0.431373
0.482353 0.509804 0.498039
0.494118 0.529412 0.529412
0.470588 0.509804 0.517647
0.423529 0.470588 0.474510
0.423529 0.474510 0.482353
0.501961 0.521569 0.490196
0.298039 0.384314 0.317647
0.247059 0.352941 0.282353
