# R	G	B
0.654902 0.737255 0.788235
0.654902 0.737255 0.784314
0.662745 0.737255 0.788235
0.662745 0.741176 0.784314
0.666667 0.745098 0.784314
0.670588 0.749020 0.784314
0.670588 0.749020 0.784314
0.674510 0.749020 0.780392
0.678431 0.752941 0.780392
0.678431 0.752941 0.780392
0.682353 0.756863 0.784314
0.682353 0.756863 0.784314
0.682353 0.756863 0.784314
0.682353 0.756863 0.784314
0.682353 0.752941 0.780392
0.678431 0.752941 0.780392
0.678431 0.749020 0.776471
0.674510 0.749020 0.776471
0.670588 0.745098 0.772549
0.670588 0.745098 0.772549
0.670588 0.745098 0.772549
0.666667 0.741176 0.768627
0.666667 0.737255 0.768627
0.662745 0.733333 0.764706
0.658824 0.733333 0.764706
0.658824 0.729412 0.760784
0.654902 0.725490 0.760784
0.650980 0.721569 0.760784
0.647059 0.717647 0.756863
0.639216 0.717647 0.760784
0.635294 0.713726 0.756863
0.623529 0.705882 0.749020
0.654902 0.741176 0.796078
0.654902 0.741176 0.792157
0.662745 0.745098 0.796078
0.662745 0.745098 0.792157
0.670588 0.749020 0.792157
0.674510 0.752941 0.792157
0.674510 0.752941 0.792157
0.678431 0.752941 0.792157
0.682353 0.752941 0.792157
0.686275 0.756863 0.792157
0.682353 0.760784 0.792157
0.682353 0.760784 0.792157
0.682353 0.760784 0.792157
0.686275 0.756863 0.792157
0.682353 0.756863 0.792157
0.682353 0.756863 0.788235
0.682353 0.752941 0.788235
0.678431 0.752941 0.784314
0.674510 0.749020 0.784314
0.674510 0.745098 0.784314
0.674510 0.745098 0.780392
0.670588 0.745098 0.780392
0.670588 0.741176 0.780392
0.666667 0.737255 0.776471
0.662745 0.733333 0.776471
0.662745 0.733333 0.772549
0.662745 0.733333 0.772549
0.658824 0.729412 0.768627
0.654902 0.729412 0.768627
0.650980 0.729412 0.772549
0.647059 0.725490 0.768627
0.635294 0.717647 0.760784
0.639216 0.729412 0.784314
0.639216 0.729412 0.780392
0.647059 0.733333 0.784314
0.650980 0.737255 0.784314
0.658824 0.737255 0.784314
0.662745 0.741176 0.784314
0.666667 0.745098 0.784314
0.670588 0.745098 0.784314
0.674510 0.745098 0.784314
0.674510 0.749020 0.784314
0.674510 0.749020 0.784314
0.670588 0.749020 0.784314
0.674510 0.749020 0.784314
0.674510 0.749020 0.784314
0.674510 0.749020 0.784314
0.674510 0.749020 0.784314
0.674510 0.745098 0.784314
0.670588 0.741176 0.780392
0.670588 0.737255 0.776471
0.666667 0.737255 0.776471
0.666667 0.737255 0.776471
0.666667 0.737255 0.776471
0.662745 0.733333 0.772549
0.662745 0.733333 0.772549
0.658824 0.729412 0.772549
0.658824 0.729412 0.772549
0.658824 0.729412 0.768627
0.654902 0.725490 0.764706
0.650980 0.721569 0.764706
0.647059 0.721569 0.764706
0.643137 0.717647 0.760784
0.631373 0.713726 0.756863
0.635294 0.725490 0.780392
0.635294 0.725490 0.780392
0.643137 0.733333 0.784314
0.650980 0.737255 0.788235
0.658824 0.737255 0.792157
0.666667 0.745098 0.788235
0.666667 0.745098 0.784314
0.670588 0.749020 0.784314
0.670588 0.749020 0.784314
0.674510 0.749020 0.784314
0.674510 0.752941 0.788235
0.674510 0.752941 0.788235
0.674510 0.752941 0.788235
0.678431 0.752941 0.780392
0.678431 0.752941 0.780392
0.678431 0.752941 0.784314
0.678431 0.749020 0.788235
0.674510 0.745098 0.784314
0.670588 0.741176 0.780392
0.670588 0.741176 0.780392
0.670588 0.741176 0.776471
0.666667 0.737255 0.776471
0.666667 0.737255 0.776471
0.666667 0.737255 0.776471
0.662745 0.733333 0.772549
0.662745 0.733333 0.772549
0.658824 0.729412 0.772549
0.658824 0.729412 0.768627
0.654902 0.725490 0.764706
0.650980 0.721569 0.768627
0.643137 0.721569 0.764706
0.635294 0.717647 0.760784
0.635294 0.725490 0.784314
0.635294 0.725490 0.780392
0.643137 0.733333 0.784314
0.650980 0.737255 0.788235
0.662745 0.737255 0.792157
0.666667 0.741176 0.788235
0.666667 0.745098 0.784314
0.670588 0.749020 0.784314
0.670588 0.749020 0.784314
0.674510 0.752941 0.788235
0.674510 0.752941 0.788235
0.674510 0.752941 0.788235
0.678431 0.752941 0.788235
0.678431 0.752941 0.780392
0.678431 0.752941 0.780392
0.678431 0.749020 0.784314
0.678431 0.749020 0.788235
0.674510 0.745098 0.784314
0.670588 0.741176 0.780392
0.670588 0.741176 0.780392
0.670588 0.741176 0.780392
0.666667 0.737255 0.776471
0.666667 0.737255 0.776471
0.662745 0.733333 0.772549
0.662745 0.733333 0.772549
0.662745 0.733333 0.772549
0.658824 0.733333 0.768627
0.658824 0.729412 0.764706
0.654902 0.725490 0.764706
0.650980 0.721569 0.764706
0.647059 0.721569 0.764706
0.639216 0.721569 0.760784
0.639216 0.729412 0.788235
0.639216 0.729412 0.784314
0.647059 0.737255 0.784314
0.654902 0.737255 0.788235
0.662745 0.737255 0.792157
0.666667 0.741176 0.788235
0.670588 0.749020 0.788235
