# R	G	B
-0.286274 -0.498039 -0.764706
-0.356863 -0.545098 -0.764706
-0.317647 -0.427451 -0.537255
-0.301961 -0.317647 -0.349020
-0.254902 -0.278431 -0.372549
-0.231373 -0.294118 -0.443137
-0.239216 -0.317647 -0.466667
-0.262745 -0.294118 -0.411765
-0.278431 -0.270588 -0.341176
-0.231373 -0.262745 -0.333333
-0.364706 -0.403922 -0.482353
-0.780392 -0.796078 -0.850980
-0.882353 -0.882353 -0.921569
-0.858824 -0.850980 -0.874510
-0.850980 -0.850980 -0.843137
-0.850980 -0.850980 -0.843137
-0.874510 -0.874510 -0.866667
-0.882353 -0.882353 -0.874510
-0.898039 -0.882353 -0.898039
-0.921569 -0.874510 -0.937255
-0.921569 -0.890196 -0.921569
-0.898039 -0.898039 -0.905882
-0.882353 -0.890196 -0.937255
-0.796078 -0.811765 -0.905882
-0.772549 -0.803922 -0.882353
-0.796078 -0.835294 -0.905882
-0.694118 -0.733333 -0.803922
-0.803922 -0.843137 -0.913725
-0.858824 -0.898039 -0.952941
-0.827451 -0.898039 -0.898039
-0.827451 -0.882353 -0.898039
-0.858824 -0.898039 -0.921569
-0.262745 -0.490196 -0.733333
-0.380392 -0.560784 -0.764706
-0.294118 -0.388235 -0.537255
-0.027451 -0.058824 -0.168627
0.129412 0.082353 -0.074510
0.043137 -0.050980 -0.247059
-0.129412 -0.239216 -0.443137
-0.207843 -0.262745 -0.443137
-0.231373 -0.247059 -0.364706
-0.262745 -0.309804 -0.380392
-0.623529 -0.678431 -0.725490
-0.890196 -0.929412 -0.952941
-0.905882 -0.921569 -0.945098
-0.913725 -0.913725 -0.929412
-0.890196 -0.898039 -0.890196
-0.874510 -0.890196 -0.874510
-0.811765 -0.819608 -0.811765
-0.749020 -0.764706 -0.749020
-0.796078 -0.796078 -0.796078
-0.788235 -0.780392 -0.811765
-0.827451 -0.827451 -0.843137
-0.827451 -0.850980 -0.882353
-0.592157 -0.623529 -0.749020
-0.474510 -0.521569 -0.717647
-0.560784 -0.647059 -0.811765
-0.552941 -0.647059 -0.811765
-0.474510 -0.568627 -0.733333
-0.529412 -0.615686 -0.796078
-0.670588 -0.772549 -0.921569
-0.717647 -0.850980 -0.945098
-0.521569 -0.639216 -0.749020
-0.631373 -0.717647 -0.796078
-0.262745 -0.482353 -0.694118
-0.325490 -0.490196 -0.686275
-0.058824 -0.176471 -0.356863
0.223529 0.113726 -0.066667
0.215686 0.082353 -0.129412
0.152941 -0.019608 -0.270588
0.058824 -0.121569 -0.380392
-0.035294 -0.176471 -0.403922
-0.105882 -0.192157 -0.364706
-0.309804 -0.388235 -0.490196
-0.678431 -0.749020 -0.827451
-0.694118 -0.749020 -0.803922
-0.670588 -0.701961 -0.749020
-0.686275 -0.709804 -0.756863
-0.615686 -0.623529 -0.749020
-0.600000 -0.607843 -0.741176
-0.545098 -0.552941 -0.678431
-0.560784 -0.568627 -0.701961
-0.631373 -0.647059 -0.756863
-0.764706 -0.780392 -0.835294
-0.701961 -0.741176 -0.780392
-0.772549 -0.835294 -0.890196
-0.584314 -0.654902 -0.788235
-0.568627 -0.647059 -0.835294
-0.678431 -0.796078 -0.945098
-0.443137 -0.576471 -0.772549
-0.584314 -0.717647 -0.905882
-0.505882 -0.631373 -0.843137
-0.505882 -0.647059 -0.835294
-0.576471 -0.741176 -0.890196
-0.356863 -0.498039 -0.670588
-0.537255 -0.639216 -0.749020
-0.301961 -0.458824 -0.670588
-0.152941 -0.294118 -0.474510
0.066667 -0.121569 -0.309804
0.043137 -0.207843 -0.435294
0.019608 -0.254902 -0.505882
-0.011765 -0.309804 -0.592157
-0.027451 -0.333333 -0.623529
-0.011765 -0.278431 -0.529412
-0.027451 -0.215686 -0.419608
-0.333333 -0.435294 -0.600000
-0.631373 -0.701961 -0.850980
-0.576471 -0.623529 -0.764706
-0.521569 -0.560784 -0.678431
-0.262745 -0.294118 -0.411765
-0.341176 -0.364706 -0.537255
-0.341176 -0.364706 -0.552941
-0.521569 -0.545098 -0.725490
-0.458824 -0.482353 -0.662745
-0.419608 -0.443137 -0.623529
-0.647059 -0.694118 -0.811765
-0.623529 -0.694118 -0.780392
-0.749020 -0.843137 -0.913725
-0.709804 -0.819608 -0.913725
-0.576471 -0.686275 -0.843137
-0.560784 -0.694118 -0.843137
-0.427451 -0.560784 -0.725490
-0.545098 -0.678431 -0.835294
-0.654902 -0.788235 -0.929412
-0.482353 -0.639216 -0.811765
-0.372549 -0.560784 -0.733333
-0.435294 -0.576471 -0.741176
-0.749020 -0.827451 -0.937255
-0.435294 -0.529412 -0.741176
-0.262745 -0.388235 -0.560784
-0.176471 -0.411765 -0.600000
-0.168627 -0.513726 -0.741176
0.050980 -0.325490 -0.584314
-0.035294 -0.427451 -0.717647
-0.145098 -0.537255 -0.843137
-0.082353 -0.450980 -0.717647
-0.113725 -0.396078 -0.631373
-0.309804 -0.450980 -0.678431
-0.521569 -0.600000 -0.819608
-0.498039 -0.552941 -0.749020
-0.411765 -0.458824 -0.631373
-0.223529 -0.262745 -0.419608
-0.435294 -0.482353 -0.600000
-0.356863 -0.403922 -0.505882
-0.458824 -0.505882 -0.607843
-0.615686 -0.662745 -0.764706
-0.623529 -0.670588 -0.788235
-0.411765 -0.466667 -0.647059
-0.498039 -0.576471 -0.717647
-0.631373 -0.741176 -0.819608
-0.513726 -0.639216 -0.756863
-0.466667 -0.592157 -0.756863
-0.576471 -0.709804 -0.835294
-0.631373 -0.756863 -0.866667
-0.560784 -0.694118 -0.796078
-0.686275 -0.811765 -0.921569
-0.749020 -0.882353 -0.968627
-0.639216 -0.803922 -0.890196
-0.717647 -0.843137 -0.937255
-0.803922 -0.850980 -0.960784
-0.662745 -0.709804 -0.874510
-0.576471 -0.694118 -0.843137
-0.513726 -0.725490 -0.874510
-0.349020 -0.647059 -0.811765
-0.003922 -0.364706 -0.600000
-0.035294 -0.427451 -0.694118
-0.176471 -0.584314 -0.866667
-0.137255 -0.552941 -0.835294
-0.200000 -0.584314 -0.874510
-0.239216 -0.490196 -0.803922
-0.380392 -0.537255 -0.788235
-0.482353 -0.560784 -0.741176
-0.317647 -0.364706 -0.513726
-0.411765 -0.458824 -0.584314
-0.325490 -0.372549 -0.482353
-0.372549 -0.419608 -0.529412
-0.474510 -0.529412 -0.639216
-0.443137 -0.490196 -0.592157
-0.396078 -0.435294 -0.568627
-0.309804 -0.356863 -0.545098
-0.482353 -0.545098 -0.678431
-0.607843 -0.686275 -0.764706
-0.513726 -0.584314 -0.709804
-0.513726 -0.592157 -0.764706
-0.545098 -0.670588 -0.811765
-0.756863 -0.882353 -0.976471
-0.686275 -0.796078 -0.921569
-0.701961 -0.796078 -0.913725
-0.756863 -0.843137 -0.937255
-0.819608 -0.921569 -0.952941
-0.772549 -0.882353 -0.937255
-0.788235 -0.874510 -0.952941
-0.631373 -0.670588 -0.796078
-0.639216 -0.772549 -0.913725
-0.631373 -0.850980 -0.976471
-0.474510 -0.764706 -0.913725
-0.129412 -0.482353 -0.717647
-0.090196 -0.458824 -0.725490
-0.207843 -0.600000 -0.882353
-0.176471 -0.592157 -0.890196
-0.176471 -0.600000 -0.905882
-0.160784 -0.521569 -0.835294
-0.301961 -0.545098 -0.788235
-0.560784 -0.686275 -0.843137
-0.560784 -0.615686 -0.741176
-0.474510 -0.505882 -0.639216
-0.396078 -0.443137 -0.568627
-0.466667 -0.513726 -0.639216
-0.419608 -0.466667 -0.600000
-0.411765 -0.458824 -0.584314
-0.388235 -0.435294 -0.576471
-0.403922 -0.450980 -0.623529
-0.615686 -0.670588 -0.796078
-0.592157 -0.654902 -0.749020
-0.592157 -0.647059 -0.772549
-0.600000 -0.662745 -0.843137
-0.435294 -0.560784 -0.733333
-0.537255 -0.662745 -0.811765
-0.505882 -0.607843 -0.764706
-0.560784 -0.654902 -0.788235
-0.709804 -0.780392 -0.898039
-0.780392 -0.843137 -0.952941
-0.647059 -0.741176 -0.898039
-0.733333 -0.827451 -0.960784
-0.458824 -0.529412 -0.639216
-0.443137 -0.607843 -0.756863
-0.466667 -0.725490 -0.866667
-0.482353 -0.803922 -0.984314
-0.231373 -0.576471 -0.827451
-0.145098 -0.498039 -0.764706
-0.200000 -0.576471 -0.866667
-0.137255 -0.529412 -0.835294
-0.121569 -0.537255 -0.850980
-0.129412 -0.568627 -0.850980
-0.239216 -0.584314 -0.796078
-0.513726 -0.686275 -0.835294
-0.623529 -0.670588 -0.803922
-0.592157 -0.607843 -0.749020
-0.529412 -0.568627 -0.694118
-0.356863 -0.403922 -0.529412
-0.411765 -0.458824 -0.584314
-0.552941 -0.600000 -0.725490
-0.639216 -0.686275 -0.819608
-0.364706 -0.411765 -0.576471
-0.529412 -0.592157 -0.717647
-0.678431 -0.741176 -0.827451
-0.568627 -0.623529 -0.756863
-0.678431 -0.741176 -0.890196
-0.694118 -0.819608 -0.952941
-0.521569 -0.647059 -0.811765
-0.568627 -0.670588 -0.811765
-0.615686 -0.701961 -0.835294
-0.686275 -0.756863 -0.882353
-0.772549 -0.835294 -0.960784
-0.615686 -0.717647 -0.913725
-0.647059 -0.749020 -0.937255
-0.380392 -0.529412 -0.654902
-0.121569 -0.317647 -0.474510
0.050980 -0.215686 -0.388235
-0.184314 -0.490196 -0.694118
-0.105882 -0.427451 -0.686275
-0.074510 -0.411765 -0.686275
-0.145098 -0.498039 -0.788235
-0.129412 -0.498039 -0.811765
-0.152941 -0.552941 -0.866667
-0.192157 -0.623529 -0.905882
-0.254902 -0.592157 -0.803922
-0.482353 -0.654902 -0.796078
-0.560784 -0.607843 -0.733333
-0.537255 -0.552941 -0.686275
-0.356863 -0.396078 -0.529412
-0.411765 -0.458824 -0.584314
-0.411765 -0.458824 -0.584314
-0.466667 -0.513726 -0.639216
-0.427451 -0.474510 -0.600000
-0.427451 -0.474510 -0.639216
-0.498039 -0.552941 -0.686275
-0.670588 -0.733333 -0.819608
-0.592157 -0.647059 -0.772549
-0.654902 -0.717647 -0.874510
-0.607843 -0.733333 -0.882353
-0.584314 -0.709804 -0.874510
-0.670588 -0.772549 -0.913725
-0.647059 -0.733333 -0.866667
-0.592157 -0.678431 -0.796078
-0.670588 -0.772549 -0.858824
-0.654902 -0.788235 -0.898039
-0.701961 -0.835294 -0.937255
-0.058824 -0.317647 -0.482353
0.011765 -0.231373 -0.396078
0.239216 0.003922 -0.160784
0.066667 -0.176471 -0.349020
-0.003922 -0.294118 -0.545098
-0.090196 -0.403922 -0.694118
-0.145098 -0.482353 -0.780392
-0.105882 -0.458824 -0.780392
-0.168627 -0.537255 -0.866667
-0.215686 -0.576471 -0.890196
-0.105882 -0.364706 -0.607843
-0.270588 -0.396078 -0.552941
-0.490196 -0.545098 -0.662745
-0.505882 -0.545098 -0.670588
-0.435294 -0.482353 -0.600000
-0.443137 -0.490196 -0.607843
-0.223529 -0.270588 -0.396078
-0.254902 -0.301961 -0.427451
-0.160784 -0.207843 -0.349020
-0.215686 -0.262745 -0.443137
-0.498039 -0.552941 -0.678431
-0.639216 -0.701961 -0.788235
-0.686275 -0.733333 -0.858824
-0.647059 -0.709804 -0.882353
-0.600000 -0.733333 -0.890196
-0.576471 -0.701961 -0.866667
-0.662745 -0.772549 -0.913725
-0.686275 -0.772549 -0.890196
-0.615686 -0.694118 -0.811765
-0.584314 -0.694118 -0.843137
-0.584314 -0.741176 -0.874510
-0.717647 -0.866667 -0.960784
0.262745 -0.058824 -0.262745
-0.011765 -0.270588 -0.450980
0.058824 -0.152941 -0.294118
0.121569 -0.082353 -0.215686
0.129412 -0.152941 -0.380392
-0.011765 -0.325490 -0.592157
-0.200000 -0.513726 -0.796078
-0.137255 -0.466667 -0.764706
-0.176471 -0.521569 -0.835294
-0.074510 -0.325490 -0.639216
0.333333 0.168628 -0.074510
0.223529 0.145098 -0.027451
-0.098039 -0.137255 -0.278431
-0.105882 -0.160784 -0.294118
-0.035294 -0.082353 -0.215686
-0.011765 -0.058824 -0.184314
0.192157 0.145098 0.019608
0.129412 0.074510 -0.043137
-0.105882 -0.160784 -0.294118
-0.113725 -0.160784 -0.333333
-0.098039 -0.152941 -0.286274
-0.058824 -0.121569 -0.215686
-0.145098 -0.200000 -0.333333
-0.333333 -0.396078 -0.552941
-0.364706 -0.490196 -0.639216
-0.474510 -0.592157 -0.756863
-0.600000 -0.701961 -0.858824
-0.576471 -0.686275 -0.827451
-0.576471 -0.686275 -0.850980
-0.529412 -0.654902 -0.874510
-0.356863 -0.505882 -0.756863
-0.403922 -0.552941 -0.772549
0.286275 -0.011765 -0.215686
0.019608 -0.192157 -0.388235
-0.223529 -0.435294 -0.600000
0.011765 -0.262745 -0.403922
0.247059 -0.105882 -0.270588
0.192157 -0.129412 -0.294118
-0.035294 -0.286274 -0.458824
-0.121569 -0.372549 -0.576471
-0.074510 -0.349020 -0.584314
0.184314 0.027451 -0.160784
0.482353 0.396078 0.247059
0.356863 0.309804 0.160784
0.168628 0.137255 -0.043137
0.207843 0.145098 -0.043137
0.396078 0.294118 0.152941
0.388235 0.325490 0.192157
0.372549 0.333333 0.192157
0.333333 0.270588 0.145098
0.098039 0.003922 -0.105882
0.105882 0.050980 -0.082353
0.349020 0.294118 0.168628
0.403922 0.341177 0.223529
0.396078 0.341177 0.215686
0.349020 0.286275 0.160784
0.247059 0.168628 0.058824
-0.003922 -0.074510 -0.223529
-0.215686 -0.317647 -0.513726
-0.239216 -0.435294 -0.654902
-0.301961 -0.537255 -0.756863
-0.537255 -0.725490 -0.905882
-0.505882 -0.678431 -0.858824
-0.317647 -0.458824 -0.654902
0.262745 -0.019608 -0.254902
0.152941 -0.090196 -0.309804
-0.019608 -0.301961 -0.490196
0.129412 -0.215686 -0.372549
0.145098 -0.176471 -0.317647
0.105882 -0.129412 -0.254902
0.262745 0.082353 -0.027451
0.223529 0.043137 -0.098039
0.325490 0.137255 -0.043137
0.458824 0.333333 0.200000
0.427451 0.341177 0.200000
0.270588 0.184314 0.027451
0.152941 0.082353 -0.113725
0.262745 0.176471 -0.027451
0.356863 0.215686 0.066667
0.364706 0.270588 0.129412
0.396078 0.356863 0.207843
0.396078 0.333333 0.207843
0.349020 0.254902 0.145098
0.364706 0.301961 0.176471
0.435294 0.380392 0.254902
0.356863 0.301961 0.176471
0.325490 0.270588 0.145098
0.443137 0.380392 0.270588
0.396078 0.325490 0.239216
0.349020 0.286275 0.152941
0.137255 0.043137 -0.152941
-0.098039 -0.301961 -0.529412
-0.223529 -0.474510 -0.701961
-0.349020 -0.529412 -0.709804
-0.482353 -0.615686 -0.780392
-0.584314 -0.686275 -0.835294
0.278431 -0.027451 -0.301961
0.247059 -0.066667 -0.309804
0.278431 -0.074510 -0.278431
0.301961 -0.058824 -0.231373
-0.239216 -0.427451 -0.592157
-0.364706 -0.482353 -0.592157
0.215686 0.113726 0.035294
0.411765 0.309804 0.215686
0.529412 0.419608 0.286275
0.474510 0.364706 0.231373
0.207843 0.066667 -0.098039
0.027451 -0.137255 -0.333333
0.074510 -0.074510 -0.278431
0.286275 0.145098 -0.050980
0.152941 -0.019608 -0.200000
0.176471 0.058824 -0.121569
0.435294 0.380392 0.215686
0.458824 0.396078 0.270588
0.450980 0.364706 0.270588
0.458824 0.396078 0.278431
0.482353 0.435294 0.301961
0.427451 0.372549 0.247059
0.325490 0.278431 0.145098
0.427451 0.364706 0.254902
0.427451 0.349020 0.270588
0.396078 0.333333 0.223529
0.403922 0.325490 0.160784
0.137255 -0.035294 -0.215686
-0.043137 -0.262745 -0.450980
0.090196 -0.050980 -0.247059
-0.019608 -0.113725 -0.294118
-0.654902 -0.701961 -0.835294
0.317647 -0.011765 -0.278431
0.349020 0.003922 -0.223529
0.349020 0.003922 -0.200000
0.145098 -0.137255 -0.341176
-0.537255 -0.600000 -0.819608
-0.600000 -0.623529 -0.780392
0.082353 0.019608 -0.058824
0.388235 0.325490 0.254902
0.505882 0.458824 0.349020
0.325490 0.239216 0.090196
-0.011765 -0.184314 -0.388235
-0.027451 -0.270588 -0.513726
0.090196 -0.137255 -0.364706
0.200000 -0.003922 -0.192157
0.043137 -0.168627 -0.380392
0.090196 -0.058824 -0.270588
0.443137 0.372549 0.192157
0.513726 0.450980 0.325490
0.513726 0.435294 0.349020
0.529412 0.466667 0.349020
0.552941 0.498039 0.372549
0.552941 0.498039 0.372549
0.490196 0.435294 0.309804
0.474510 0.403922 0.301961
0.498039 0.411765 0.341177
0.521569 0.458824 0.364706
0.560784 0.498039 0.372549
0.403922 0.262745 0.129412
0.145098 -0.043137 -0.192157
0.309804 0.152941 -0.019608
0.419608 0.325490 0.145098
-0.223529 -0.239216 -0.419608
0.388235 0.011765 -0.192157
0.396078 0.043137 -0.137255
0.317647 0.043137 -0.137255
-0.074510 -0.223529 -0.443137
-0.552941 -0.505882 -0.796078
-0.662745 -0.639216 -0.858824
-0.105882 -0.168627 -0.278431
0.356863 0.294118 0.207843
0.505882 0.482353 0.364706
0.278431 0.200000 0.043137
0.027451 -0.192157 -0.427451
0.168628 -0.152941 -0.450980
0.168628 -0.145098 -0.388235
0.113726 -0.137255 -0.317647
0.043137 -0.215686 -0.443137
0.223529 0.043137 -0.192157
0.529412 0.443137 0.247059
0.545098 0.490196 0.356863
0.552941 0.482353 0.403922
0.568627 0.505882 0.388235
0.592157 0.537255 0.411765
0.607843 0.552941 0.427451
0.529412 0.474510 0.349020
0.505882 0.427451 0.325490
0.576471 0.474510 0.419608
0.600000 0.537255 0.458824
0.592157 0.545098 0.450980
0.482353 0.372549 0.278431
0.098039 -0.082353 -0.168627
0.074510 -0.129412 -0.254902
0.333333 0.207843 0.019608
0.011765 -0.003922 -0.247059
0.427451 0.058824 -0.098039
0.388235 0.066667 -0.090196
0.200000 0.011765 -0.184314
-0.247059 -0.262745 -0.521569
-0.450980 -0.333333 -0.678431
-0.545098 -0.482353 -0.764706
-0.231373 -0.286274 -0.435294
0.286275 0.215686 0.113726
0.505882 0.466667 0.349020
0.411765 0.341177 0.184314
0.325490 0.129412 -0.098039
0.349020 0.027451 -0.254902
0.207843 -0.129412 -0.372549
0.098039 -0.192157 -0.396078
0.074510 -0.207843 -0.474510
0.380392 0.192157 -0.050980
0.576471 0.498039 0.317647
0.545098 0.482353 0.356863
0.568627 0.490196 0.388235
0.568627 0.505882 0.388235
0.592157 0.545098 0.411765
0.600000 0.545098 0.419608
0.498039 0.450980 0.317647
0.498039 0.435294 0.325490
0.584314 0.490196 0.443137
0.600000 0.545098 0.474510
0.600000 0.560784 0.482353
0.482353 0.411765 0.341177
0.137255 -0.003922 -0.082353
-0.098039 -0.325490 -0.458824
0.011765 -0.168627 -0.364706
-0.113725 -0.192157 -0.466667
0.427451 0.113726 -0.035294
0.294118 0.043137 -0.137255
-0.050980 -0.145098 -0.396078
-0.349020 -0.270588 -0.600000
-0.427451 -0.270588 -0.647059
-0.513726 -0.396078 -0.725490
-0.403922 -0.380392 -0.600000
0.192157 0.121569 0.011765
0.513726 0.419608 0.349020
0.576471 0.529412 0.403922
0.552941 0.466667 0.294118
0.419608 0.231373 0.027451
0.254902 0.003922 -0.207843
0.152941 -0.137255 -0.380392
0.098039 -0.192157 -0.505882
