# R	G	B
-0.058824 0.152941 0.325490
-0.074510 0.137255 0.301961
-0.074510 0.137255 0.301961
-0.066667 0.129412 0.301961
-0.066667 0.129412 0.301961
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.082353 0.105882 0.301961
-0.082353 0.105882 0.301961
-0.098039 0.090196 0.286275
-0.098039 0.090196 0.278431
-0.105882 0.090196 0.262745
-0.105882 0.090196 0.262745
-0.105882 0.090196 0.262745
-0.105882 0.090196 0.262745
-0.090196 0.074510 0.239216
-0.090196 0.082353 0.247059
0.035294 0.207843 0.372549
0.058824 0.223529 0.388235
0.058824 0.223529 0.388235
0.066667 0.231373 0.396078
-0.019608 0.145098 0.309804
-0.027451 0.137255 0.301961
-0.027451 0.137255 0.301961
-0.035294 0.129412 0.294118
-0.035294 0.129412 0.294118
-0.058824 0.105882 0.278431
-0.035294 0.137255 0.301961
-0.066667 0.145098 0.309804
-0.082353 0.129412 0.294118
-0.082353 0.129412 0.294118
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.090196 0.105882 0.278431
-0.090196 0.105882 0.278431
-0.090196 0.105882 0.278431
-0.090196 0.098039 0.278431
-0.098039 0.090196 0.270588
-0.105882 0.090196 0.262745
-0.113725 0.082353 0.254902
-0.113725 0.082353 0.254902
-0.113725 0.082353 0.254902
-0.113725 0.074510 0.247059
-0.098039 0.066667 0.231373
-0.090196 0.074510 0.239216
-0.027451 0.137255 0.301961
-0.003922 0.160784 0.325490
-0.019608 0.145098 0.309804
-0.019608 0.145098 0.309804
-0.113725 0.050980 0.215686
-0.129412 0.035294 0.200000
-0.137255 0.027451 0.192157
-0.137255 0.027451 0.192157
-0.145098 0.019608 0.184314
-0.145098 0.019608 0.184314
-0.137255 0.027451 0.192157
-0.066667 0.145098 0.317647
-0.074510 0.137255 0.301961
-0.074510 0.137255 0.301961
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.074510 0.121569 0.294118
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.082353 0.113726 0.286275
-0.090196 0.105882 0.270588
-0.090196 0.105882 0.270588
-0.090196 0.105882 0.270588
-0.090196 0.105882 0.270588
-0.105882 0.090196 0.262745
-0.105882 0.090196 0.262745
-0.113725 0.082353 0.254902
-0.105882 0.082353 0.254902
-0.090196 0.074510 0.239216
-0.090196 0.074510 0.239216
-0.105882 0.058824 0.223529
-0.105882 0.058824 0.223529
-0.113725 0.050980 0.215686
-0.113725 0.050980 0.215686
-0.105882 0.058824 0.223529
-0.105882 0.058824 0.223529
